score_mean,score_std,avg_q_values_mean,avg_q_values_std,rolling_100_score
-212.8,103.16445736375438,-0.8675583943724632,1.4428452902799513,-212.8
-161.7,99.38659233942025,0.057871219143271445,2.3166703712778802,-187.25
-193.35,101.41435328705487,0.9001076117157936,2.8906140155231146,-189.28333333333333
-185.95,114.5395702711283,1.8461328089237212,5.192637282602107,-188.45
-182.75,130.7641005781021,2.125098592042923,5.3819222102416235,-187.31
-130.15,40.387954170832465,3.1892549246549606,6.779200227801361,-177.78333333333333
-140.5,96.07973662262863,5.148941810324322,5.613565057471485,-172.45714285714286
-212.15,117.22954315987793,5.295567996706813,9.753983928422466,-177.41875000000002
-178.55,86.3039152615551,6.5847685694694515,11.78303783790197,-177.54444444444445
-153.25,112.07416482424766,8.079200056195258,11.503945569780877,-175.115
-138.45,83.8704985457687,10.378802850842476,18.369199349305976,-171.78181818181818
-154.2,86.66001323988382,9.119076585769653,16.395866782005776,-170.3166666666667
-194.25,127.0527760213717,4.117402437701822,12.418107500031406,-172.15769230769232
-196.8,115.68223263478461,6.073268443346024,10.155725614417618,-173.91785714285717
-149.95,114.97435640863117,10.474277922511101,17.448335216734062,-172.32000000000002
-172.6,109.95137681338007,9.203627202659845,9.316605443486205,-172.3375
-179.3,88.52718880600885,6.476338040828705,14.762396340592952,-172.74705882352941
-161.5,67.83455104730534,10.821511877328158,17.042915420482892,-172.12222222222223
-147.1,107.47430537477072,8.207186648249627,13.652407176987017,-170.80526315789476
-149.0,80.80059926823107,10.598763844370842,17.371363942268317,-169.715
-131.1,77.45280396541666,7.952062630653382,14.309881650532375,-167.8761904761905
-133.2,86.47092605397249,12.64278485774994,18.888011193822393,-166.29999999999998
-176.6,119.00747433404516,11.766744551062583,20.957396984848266,-166.7478260869565
-160.45,92.99206247960375,11.108207106590271,15.028978523711539,-166.48541666666665
-163.25,123.52237172184427,2.274585363268852,14.577552877618585,-166.356
-172.45,107.76850189178654,5.716099691390991,16.305326803653667,-166.5903846153846
-178.05,98.8483554158644,8.067573443055153,17.72454518250571,-167.0148148148148
-134.15,80.10734574372853,12.212850053608417,18.48426453098143,-165.8410714285714
-141.35,123.37417412937465,15.564246194064618,20.334506256528723,-164.99655172413793
-113.2,118.02747227034186,9.718913370370865,12.233651069261963,-163.26999999999998
-105.35,91.91831327754808,12.095798695087433,17.53553114605996,-161.4016129032258
-113.5,87.2567294946657,6.537124885525555,14.39186868901855,-159.9046875
-115.05,134.76938391973624,14.262425608932972,12.604394879156207,-158.54545454545453
-97.1,63.36768228280672,9.716993674635887,13.533916887233158,-156.73823529411766
-108.65,60.398043711783636,11.677111423015594,11.238140245508937,-155.36428571428573
-93.75,71.04844529577947,12.075047051906585,16.18849476619284,-153.65277777777777
-109.3,130.2552554753449,6.851866900920868,22.053977634351735,-152.45405405405407
-127.6,107.46965299929776,18.500122600793837,14.373730948621759,-151.8
-74.4,92.05913431336575,13.664582216739655,17.047055672422804,-149.81538461538463
-83.65,57.36244415992052,11.902905422449113,17.34931476462041,-148.16125
-76.3,60.156025204638084,16.941733619570734,11.819478128707347,-146.40853658536585
-57.3,48.14790808157276,21.226572704315185,12.18009322946022,-144.28690476190476
-82.2,49.926893923436744,20.55844773054123,14.658996554093699,-142.84302325581396
-82.9,65.3596527723818,21.261482660099865,15.927792111962457,-141.4806818181818
-87.4,92.41348728177584,18.190886571072042,18.086543726008628,-140.27888888888887
-75.15,46.538354301077646,12.768827593326568,18.058616039861725,-138.86304347826083
-52.6,33.18909142284079,16.93631256222725,11.352724347349817,-137.02765957446806
-48.55,58.167159300180984,17.122350573539734,22.442085337724272,-135.184375
-82.6,78.71093015786174,17.909448993206023,13.975102560173367,-134.11122448979592
-66.6,54.12694630024378,17.178980898857116,17.806593513301507,-132.761
-86.4,87.66707357653547,12.084928661584854,15.519173302533272,-131.85196078431372
-84.45,85.71217133983642,13.393853019177914,20.701352290832386,-130.9403846153846
-26.55,40.83145717136289,21.245167899131776,12.921404845925492,-128.97075471698113
-71.4,55.89124778484882,17.289585542678832,20.08510748338978,-127.90462962962962
-96.25,96.57877886117524,21.323143362998962,16.357491303556323,-127.3290909090909
-53.2,74.0139389432473,18.894234122685155,18.040781134215244,-126.00535714285714
-72.15,107.41472750144892,18.07847203016281,19.993500956615037,-125.06052631578946
-52.85,41.561970218230186,24.642599831521512,11.02610494121758,-123.8155172413793
-78.85,83.40218033247409,25.87731166779995,17.310102918484365,-123.05338983050846
-49.3,74.78819214428522,17.334370470047,23.096985373082184,-121.82416666666667
-97.2,59.94611615530453,25.34910488128662,16.101766511807888,-121.42049180327868
-87.8,67.80281006441825,21.79289588034153,20.316138334467457,-120.87822580645161
-68.45,94.68144652353742,17.134569936990736,24.7748980658431,-120.04603174603174
-70.45,74.29208004824427,19.933435988426208,19.907595096244847,-119.27109374999999
-50.6,100.75264133928253,17.87252323627472,22.655384049467997,-118.21461538461539
-102.3,112.34116272366626,18.347039192914963,15.402267366286917,-117.97348484848484
-101.5,91.70174767318117,16.476622116565704,16.6191570209073,-117.7276119402985
-79.1,94.40221897481236,24.00056748986244,26.526647456662413,-117.15955882352942
-73.55,96.4072911634472,23.783035039901733,20.668123007297538,-116.52753623188407
-78.05,84.28302882175284,25.07251892387867,23.61222284593049,-115.97785714285715
-59.9,71.20977165352639,26.40210577249527,19.453972609462088,-115.18802816901409
-71.4,94.28422874199951,24.699941563606263,17.91561542657124,-114.57986111111111
-42.65,81.2580522325731,22.46323871612549,20.780900123763605,-113.5945205479452
-21.75,87.53878839511209,23.116837859153748,18.42867674419082,-112.35337837837838
-52.65,69.59225229109465,27.020128846168518,17.527110901645273,-111.55733333333332
-43.45,60.199208772558684,31.787392330169677,21.761804671884423,-110.66118421052632
-32.25,105.94779002190803,27.186644434928894,21.241443069590535,-109.64285714285714
-5.9,94.95921562217616,30.528681332618,18.205273367304688,-108.31282051282051
-8.2,108.28062955506911,28.280177319049834,19.872204862950646,-107.04556962025318
0.3,78.46360202097061,31.63201125860214,19.3265369680991,-105.70375000000001
-10.4,69.46669023806719,35.919086647033694,25.746599903658304,-104.52716049382717
-24.55,97.34446433589382,37.84535510540009,27.262563988529593,-103.55182926829268
-19.8,71.34541625817758,43.751740956306456,25.488999642061003,-102.54277108433735
1.35,113.6709355066077,44.056523758172986,28.91693162348752,-101.30595238095236
-7.65,68.23818579065538,52.42190427780152,25.897760848721404,-100.20411764705881
12.75,87.7687601778554,34.77037000656128,19.82208619463531,-98.89069767441859
-11.0,104.5708020031354,39.79673624038696,19.393030261263167,-97.88045977011492
13.65,91.64765193535052,32.839981937408446,16.55173813595849,-96.61306818181816
-15.55,87.82546987004814,45.68178126811981,30.60494980205361,-95.70224719101121
-5.1,76.7586100090818,42.07455439567566,29.047708784549357,-94.69555555555554
24.05,81.8030207909605,36.110953187942506,26.925655266446714,-93.39065934065933
-5.75,79.66830909266376,47.84964284896851,24.80161997509726,-92.43804347826087
3.25,93.41524444509494,47.15601029396057,27.52116626156164,-91.40913978494623
18.9,85.31113335130539,42.47987470626831,23.033178026889686,-90.23563829787234
37.35,83.27208099768019,29.994264078140258,16.380903086009937,-88.89263157894736
47.8,83.18375347449322,37.04129707813263,24.61905346604709,-87.46875
-0.9,106.11706544636151,38.578805923461914,22.622237998687,-86.57628865979382
43.55,115.22494019137204,34.13488955497742,17.77818301274282,-85.24846938775511
34.2,125.7401665088933,30.64239854812622,16.083087290763228,-84.04191919191919
9.75,180.34874840883032,44.54992356300354,22.84666287014371,-83.104
53.4,108.40537955189065,42.57119262218475,30.32694218561284,-80.442
