episode,score_mean,score_std,average_mean,average_std,avg_q_values_mean,avg_q_values_std,rolling_100_score
0,-183.0,120.28715642162301,-183.57044145408642,120.48472652171037,-1.2339241281151772,1.4587398468999868,-183.0
1,-213.8,126.21093455006186,-199.04688053852593,47.26544468812552,-0.7629964143037796,1.343602636209768,-198.4
2,-148.4,97.62837702225721,-182.3288457813408,52.35955911959243,-1.1056798398494723,1.1876974257285666,-181.73333333333335
3,-187.4,108.24185881626387,-183.76007574883783,40.72879037774862,-4.6944365978240965,6.017398715226744,-183.15
4,-174.2,83.84032442685321,-181.92803428787022,45.406893124287066,-0.38575005531311046,2.806338750558144,-181.35999999999999
5,-184.4,63.14903007964572,-182.4498383315242,38.586129616052006,-0.008229935169220059,3.007506289075039,-181.86666666666667
6,-116.0,55.41660400998964,-173.0107401613912,30.25633954913513,-0.41437311768531837,5.081216584104307,-172.45714285714286
7,-265.2,113.65386047116921,-184.60484054601713,17.23595263431749,1.362452745437622,5.9710253674493545,-184.05
8,-108.4,58.18333094624267,-176.19451091017532,16.426691109749715,0.07906727790832555,10.503154672480829,-175.64444444444447
9,-132.8,52.86965102967864,-171.89361868059558,16.12143184841552,8.08042471408844,17.390398719953335,-171.36
10,-163.8,41.93685729760875,-171.19979889423956,15.772915924455317,4.083330464363098,12.607932564616293,-170.6727272727273
11,-156.0,106.53168542738823,-169.95831981896384,17.484781881719893,6.591211247444153,12.749285832606354,-169.45000000000002
12,-141.0,50.788778288121875,-167.767719096688,17.361415683645323,1.6233343601226806,9.489710397537939,-167.26153846153846
13,-138.2,133.96529401303906,-165.68385644926303,24.12320574205063,7.758956384658814,13.494535863010118,-165.18571428571428
14,-193.4,195.15327309579,-167.5777200553902,18.308129153892654,6.033116888999938,13.656106950580028,-167.06666666666666
15,-87.4,163.5796442103968,-162.57432286964615,20.287623283992982,3.827850270271301,22.097960217948707,-162.0875
16,-117.0,66.9552089086428,-159.92697966219527,16.497267321186637,4.268342542648315,11.3653691782542,-159.43529411764706
17,-133.2,54.57288704109395,-158.46984181733302,15.398244393866529,10.233742713928223,11.86977453301527,-157.97777777777776
18,-136.0,79.53929846308678,-157.31029585264508,13.021289498113292,8.522724080085755,16.223071640401766,-156.82105263157894
19,-110.6,116.66319042440078,-154.99158109035832,11.570670505836471,1.581316471099853,14.545379412954029,-154.51
20,-116.4,78.38877470658666,-153.16525734187317,11.898310447555064,8.360280203819276,8.445497261266969,-152.6952380952381
21,-132.8,60.54089526923103,-152.26384433275638,13.64176728374398,15.894546699523925,24.47760589459128,-151.79090909090908
22,-142.6,39.67114820622161,-151.87098008553303,12.736404957916855,10.836936545372009,25.009001990991575,-151.3913043478261
23,-117.4,57.155927076725824,-150.45248032785622,11.462165141946015,14.231923484802246,21.66574084161665,-149.975
24,-236.4,204.97268110653184,-153.91509604118193,10.944105903849193,2.501627063751221,9.450329960157623,-153.43200000000002
25,-95.2,97.89126620899334,-151.67293461366998,12.102542363817804,15.095418453216553,11.611566166626798,-151.19230769230768
26,-113.8,51.924945835311185,-150.2886319380768,13.11723472754515,7.116432952880859,23.45877853427349,-149.80740740740742
27,-139.8,74.98799903984637,-149.92549793176616,15.131336475387181,16.43516049385071,20.783776341276234,-149.45000000000002
28,-113.6,75.40755930276487,-148.68840441778215,16.98136391576877,10.813683414459229,12.943469313551578,-148.2137931034483
29,-174.8,87.35387799061928,-149.57628397153567,16.35079429540742,17.846388247609138,12.78393296629433,-149.10000000000002
30,-83.8,78.2860140765897,-147.47056006124203,16.203897978861498,17.433901810646056,16.85287362962458,-146.9935483870968
31,-86.6,19.295077092357005,-145.58876716891763,15.801477666495801,16.952233719825745,23.830951728650106,-145.10625000000005
32,-61.8,15.530614926653742,-143.06520115127802,15.431800844329494,13.125548548996449,14.835463877135188,-142.58181818181822
33,-82.6,117.75313159317675,-141.2998183441972,12.42365122499534,8.524533301591873,21.8816091039017,-140.81764705882358
34,-76.2,18.04716044146558,-139.46027002314798,11.566200909484996,23.335285568237303,10.610610741626333,-138.97142857142862
35,-33.6,59.15910749833875,-136.5299633117561,11.35800352896878,12.923016548156738,30.524802317256828,-136.0444444444445
