,λ = 0.0,λ = 0.3,λ = 0.8,λ = 1.0 (Widrow-Hoff)
0.0,0.23570226039551584,0.23570226039551584,0.23570226039551584,0.23570226039551584
0.049999999999999996,0.17603573905111222,0.16797576763835603,0.15255258938342292,0.17902522240136598
0.09999999999999999,0.13338057643752757,0.12211106712646304,0.11538673083242816,0.20342269182059042
0.15,0.10504559938853504,0.09490738269451544,0.11414036563766464,0.25510628959442594
0.19999999999999998,0.09198608470231337,0.08502048653726396,0.13295184359497225,0.3143892300156687
0.24999999999999997,0.09743971589816541,0.09192175108722161,0.15871605282859538,0.379396311492743
0.3,0.12343021403294831,0.11339419517109112,0.1884559305777589,0.4546305833289718
0.35,0.17197094723023537,0.14903223658628248,0.22523512016877426,0.5463864484027918
0.39999999999999997,0.2589867099600879,0.2021900423493663,0.27443479602333015,0.6633982621495652
0.44999999999999996,0.40805276994983225,0.2833497012970401,0.34354218055898417,0.8154425595288849
0.49999999999999994,0.6460538902304904,0.40543261263867353,0.44425884399811244,
0.5499999999999999,,0.5804849939433461,0.5926982831405508,
0.6,,0.8194156909534854,0.8076626538245866,
