episode,score_mean,score_std,average_mean,average_std,avg_q_values_mean,avg_q_values_std,rolling_100_score
0,-168.0,139.2264342716569,-168.38365508889487,139.5146843291785,-0.5357568800449373,1.791959087785209,-168.0
1,-140.4,80.43195882234872,-154.54905156602496,55.80613807298198,0.8855727910995483,2.046063679411372,-154.2
2,-228.6,111.6593032398107,-179.38607358519045,69.25895931070689,1.4566451549530028,1.819541841524618,-179.0
3,-113.2,63.93512336736357,-162.99861635306246,59.029175149587694,1.734116142988205,2.8356269955231697,-162.55
4,-135.2,104.3417461996875,-157.49320286796654,50.53680858826795,0.9211180627346038,2.239571381489166,-157.08
5,-241.4,99.58564153531371,-171.57628850559558,44.12457495413267,2.131602046266198,3.6602354117633116,-171.13333333333335
6,-44.6,49.19146267392341,-153.45057631986168,32.78430681559453,2.991049599647522,5.436094770056596,-153.05714285714288
7,-235.4,177.43956717710964,-163.73555287407382,39.1553304803419,3.4466050982475283,6.476726264295599,-163.35000000000002
8,-174.4,94.89889356573131,-164.9596028106115,42.16306695714989,4.205282363295555,6.596340656682192,-164.5777777777778
9,-147.2,28.943047524405582,-163.23283868537848,36.004485547475625,1.9164358079433437,5.2310469054050595,-162.84000000000003
10,-193.2,58.666003784133785,-165.99822972532698,35.19161923387029,2.5361542940139774,4.613472847926457,-165.60000000000002
11,-232.4,173.22615275991095,-171.5854245664429,44.22791606183687,-1.862196159362793,6.24650716422263,-171.1666666666667
12,-151.4,101.74133869769946,-170.07225822468607,38.94167611922246,0.47502460479736397,7.126496354386663,-169.64615384615388
13,-166.2,94.33557123376103,-169.841673745455,32.96631088442258,2.8243992328643803,5.744634295018342,-169.40000000000003
14,-194.6,123.66203944622617,-171.52243242799085,27.941044010358787,0.20683407783508317,4.584752721700557,-171.08
15,-183.2,111.85571062757592,-172.27955285550462,24.441418150197553,3.9377679586410523,8.627504768806824,-171.8375
16,-104.4,52.65263526168467,-168.31264014025086,21.821573487022633,5.535957479476929,5.167485594408612,-167.87058823529412
17,-203.8,42.69309077590893,-170.3108715158051,19.711535527072037,-6.381289768218994,9.308709616139462,-169.86666666666667
18,-118.6,79.67935742712788,-167.6289994566652,21.98979859142816,-0.7268466591835022,3.201356644882893,-167.1684210526316
19,-131.4,31.722231951740092,-165.8344856046941,20.22810515560677,1.821476221084594,11.168125348768628,-165.38000000000002
