episode,score_mean,score_std,average_mean,average_std,avg_q_values_mean,avg_q_values_std,rolling_100_score
0,-185.35,124.3201618064381,-185.7377052641661,124.3175930531437,-1.0379581160843372,1.1916010755010389,-185.35
1,-197.95,113.45552107834106,-192.08800630406617,55.72777514948313,-0.20567644238471985,1.5924340802301995,-191.64999999999998
2,-167.9,107.38416035308393,-184.21537428051343,47.10427353223167,0.0888797551393509,3.119018488920166,-183.73333333333332
3,-186.8,109.66964748255266,-184.99622976982704,51.0341126879268,0.41439016759395597,3.6128997898681177,-184.5
4,-213.0,115.15435864868283,-190.70933040660856,48.07446688145449,1.437505766749382,4.6235636968763325,-190.2
5,-172.05,105.0551108503983,-187.68849101903783,39.26488630058125,0.41081568896770476,5.745609257366008,-187.17499999999998
6,-171.7,111.35580716547155,-185.47626947685472,37.827771234026386,0.4111236482858658,5.0266784055734215,-184.96428571428572
7,-154.3,103.06671319306272,-181.6178101431977,32.145510033592316,2.053934371471405,6.904902000189621,-181.13125
8,-131.35,86.30196375151854,-176.0834992541518,29.885850293294666,1.3727648645639419,7.239195847984998,-175.6
9,-191.55,124.04688205419924,-177.6822817536305,30.843353865015963,0.9185822024941445,6.511442411411015,-177.195
10,-159.15,106.3644553806442,-176.03972030274133,29.187532450654263,3.1676858991384504,7.744693620458267,-175.55454545454543
11,-162.5,115.93033298176607,-174.94851561907535,24.68058967260905,2.1475562036037443,9.744317393982532,-174.46666666666667
12,-117.5,96.74573294003856,-170.5695876275401,24.41976559816487,4.507719647884369,10.3031382307771,-170.08461538461538
13,-110.6,74.57204217187707,-166.31500712618208,21.722447770802738,4.4068698130548,10.488518665375658,-165.83571428571426
14,-227.6,122.78324932900851,-170.43037227981478,21.322838987310163,2.9224037349224092,11.582932423376048,-169.95333333333332
15,-184.35,98.33630533718673,-171.336381787652,20.443298047647332,5.4409562140703205,10.560733185621352,-170.85312499999998
16,-139.2,94.11281024723243,-169.47408037326528,19.872316473517742,5.474298757314682,10.590798216827327,-168.99117647058821
17,-172.9,132.44418884154464,-169.6884021486694,19.476556741560223,4.594539318978787,12.877272297647222,-169.20833333333331
18,-161.45,101.48086415415314,-169.27618198833198,20.050378746327624,7.268522217869759,10.56982925998416,-168.79999999999995
19,-156.15,95.14491716932594,-168.64390949203676,18.09224350932611,6.950411144644022,9.893700049127514,-168.16749999999996
20,-140.4,85.82196995126475,-167.32331836855087,17.581681591546285,6.4488803267478945,11.400471578160897,-166.84523809523807
21,-180.05,141.49036604734093,-167.92319950059314,16.793061375243298,7.961266958713532,12.394002983739535,-167.44545454545454
22,-134.25,91.96674170017859,-166.481131721967,16.68100567882792,7.809782056137919,11.723095181957998,-166.00217391304346
23,-177.8,134.0799447305501,-166.972638770082,18.23314520963853,7.570349979400635,12.735592368321576,-166.49375
24,-160.75,108.31769792702634,-166.74620788730516,18.976780200440878,6.0246691212058066,10.67516804355895,-166.264
25,-123.85,74.79253762381997,-165.1124795318283,19.44270455057779,9.334215366840363,11.745097936353748,-164.63269230769234
26,-125.1,96.2118824043552,-163.64725061605537,20.43854098226869,11.268121075630187,12.013359953518728,-163.16851851851857
27,-147.85,75.97941203136267,-163.1014839190288,20.102790870272617,10.57479214668274,11.779597703037124,-162.62142857142862
