episode,score_mean,score_std,average_mean,average_std,avg_q_values_mean,avg_q_values_std,rolling_100_score
0,-203.8,116.13540191925702,-204.33628155972698,116.03141670496163,-1.1284176183864474,1.7162799385829859,-203.8
1,-162.55,92.09747410674251,-183.65835983000733,62.061586970972854,-0.47723746709525583,1.7862486311921975,-183.175
2,-183.35,135.43818749370118,-183.72714050610043,70.57131846574092,-0.4111271373927593,2.836419642845118,-183.23333333333335
3,-134.8,93.97569674627249,-171.63033450814513,60.989610121415154,-0.025963418185710907,4.486115520543348,-171.125
4,-210.75,112.7199020394778,-179.53695826291198,52.08873565365458,1.6409724801778793,5.522132544734464,-179.05
5,-181.4,110.62283004116188,-179.9234527643219,41.733590704535146,1.4011649588122963,5.406535450926011,-179.4416666666667
6,-140.2,102.68377620021988,-174.3037676331388,42.2114966113787,3.449982169084251,6.719386799464384,-173.83571428571432
7,-169.85,101.44133643067852,-173.8117231399531,38.134799734936436,4.234544268995523,6.419324037265638,-173.3375
8,-169.95,90.70279691619797,-173.43848092258486,36.617622964563985,5.344963562488556,7.390777397929805,-172.9611111111111
9,-171.5,91.23278496588591,-173.29189525001166,36.118315956629424,5.262615217082202,8.804494726471788,-172.815
10,-154.2,90.38840167795168,-171.59783568368502,34.953721356403655,6.952833759784698,8.834366345662918,-171.12272727272727
11,-180.85,106.35010454551563,-172.40759208314847,33.123292285985066,8.312412774562835,11.585555981494137,-171.93333333333337
12,-172.45,110.84198093160418,-172.45523859376587,33.50244023904511,4.648368841409683,9.42981914488711,-171.97307692307692
13,-184.3,104.65839167199361,-173.334949345415,32.072723576150985,4.938679190725088,14.575760764217051,-172.85357142857146
14,-178.45,90.35280265364446,-173.71131666336126,30.358374608006855,4.374762523174286,12.384615964635636,-173.22666666666666
15,-160.5,101.21706741870219,-172.92409312731883,30.62926391285603,5.330251002311707,11.916815473566878,-172.43125
16,-192.7,106.31834025079685,-174.12138208667074,28.37930236423838,7.469493981823325,13.91220703508545,-173.6235294117647
17,-168.9,108.81655253344115,-173.85958945897897,27.91716081440887,7.845948860049248,13.796949969300226,-173.36111111111111
18,-134.45,68.10091196545254,-171.80913192974617,26.647561647917033,6.986197626590728,14.962849101695939,-171.31315789473683
19,-127.8,89.87628924483393,-169.6319071986631,25.67785476536281,2.922059536725283,17.18068830291627,-169.1375
20,-123.85,82.70764936302987,-167.47308397404072,24.37861096687173,9.218594098091126,15.702101279232856,-166.98095238095237
21,-144.95,111.45377847718804,-166.47144526641097,22.864821805149294,9.638343733549117,15.975738644044661,-165.97954545454544
22,-146.35,85.8629722290115,-165.61790690980962,20.339318640657883,4.373952702432871,14.709393147936925,-165.12608695652173
23,-150.85,65.40503360638714,-165.02288661828862,19.42619103799869,6.05054212808609,12.600712644961611,-164.53124999999997
24,-142.95,105.14675208338205,-164.1556216308275,19.251022928821623,3.6701413094997406,12.365532916768052,-163.66799999999998
25,-137.25,80.37207881243074,-163.13662206422518,19.070676436397854,7.039932696148753,12.77829357937444,-162.65192307692303
26,-151.15,77.29320457636757,-162.71460535058435,18.911930675618503,7.745590041577816,10.935091402679138,-162.22592592592588
27,-147.25,111.58092413839807,-162.17684567969903,17.951390021690656,6.731574845314026,16.333067108736593,-161.69107142857138
28,-114.55,99.06269944359799,-160.5504910588786,17.593330540229733,2.647678714990616,19.25616052255415,-160.06551724137927
29,-137.3,99.07684417981619,-159.79369840529284,15.805195791698354,7.950685350596904,11.604737212542915,-159.30666666666664
30,-109.4,68.2999576173098,-158.18324535781704,15.143625145155221,12.323301777243614,14.554234418626915,-157.69677419354835
31,-105.1,44.24798538381511,-156.5421054879451,14.44811182073433,8.932670675218105,11.321544852465276,-156.05312499999997
32,-116.6,53.399586042156585,-155.34731067753754,14.05877700594909,10.777249567955732,13.857649893158683,-154.85757575757575
