timestep,epsilon,alpha,error
1337.0,0.9933372783031101,0.09933372783031097,0.06562190464606975
1667.0,0.9916996191401012,0.09916996191401017,0.07314961244868022
1680.0,0.9916351605986352,0.09916351605986362,0.06589108509768268
1733.0,0.9913724114400025,0.09913724114400034,0.013180316805999709
1916.0,0.9904657182921678,0.09904657182921695,2.018424171217915
1925.0,0.990421148226253,0.09904211482262548,0.2112002470562695
1929.0,0.9904013399518511,0.09904013399518528,0.008512467102738785
2017.0,0.9899656581300942,0.09899656581300956,0.19103772289375143
2118.0,0.9894658504352797,0.09894658504352817,0.05634578019450531
2156.0,0.9892778693125144,0.09892778693125165,0.05076091214892897
2178.0,0.9891690544597784,0.09891690544597803,0.022102338900239715
2268.0,0.9887240274112964,0.09887240274112974,0.03400960654127183
2860.0,0.9858017241269127,0.09858017241269137,0.15204991480316754
2918.0,0.9855158823613681,0.09855158823613694,0.13702106601572916
2969.0,0.985264607222118,0.0985264607222119,0.12348592933216995
3338.0,0.983448465387449,0.09834484653874508,0.1098793191637304
3576.0,0.982278854845898,0.09822788548458994,0.23667347915553583
3586.0,0.9822297420082045,0.09822297420082059,0.20079073643318024
3660.0,0.9818663833207645,0.09818663833207655,0.17984245877331784
4052.0,0.9799438051450896,0.097994380514509,0.16510045803447881
4148.0,0.9794735438147107,0.09794735438147113,0.14715348582355614
4188.0,0.9792776682044712,0.09792776682044715,0.13270800481209166
4293.0,0.9787636810771179,0.0978763681077119,0.09388317842672689
4304.0,0.9787098504204382,0.09787098504204393,0.08468232657425001
4427.0,0.9781081274069091,0.09781081274069109,0.5230918590779368
4455.0,0.9779712015117922,0.09779712015117945,0.08992536078098423
4625.0,0.9771402771060905,0.09771402771060916,0.42986457579785897
4685.0,0.9768471782572347,0.09768471782572356,0.11922300548532672
4710.0,0.9767250796860248,0.09767250796860256,0.09643637310258724
4781.0,0.9763784029548015,0.09763784029548023,0.17404972535961827
4823.0,0.9761733845053236,0.09761733845053244,0.1573013462111561
4957.0,0.9755195657568915,0.09755195657568924,0.1571747203429199
5087.0,0.974885682488816,0.09748856824888162,0.3603644941748043
5463.0,0.9730546145712057,0.0973054614571207,0.484409092159249
5472.0,0.9730108279892887,0.09730108279892899,0.41922154071135953
5517.0,0.9727919246332819,0.09727919246332832,0.08436173799158286
5535.0,0.9727043770808942,0.09727043770808955,0.07614824257758279
5646.0,0.9721646745836493,0.09721646745836518,0.06870312877641016
5813.0,0.9713532538671076,0.09713532538671107,0.1561340219997387
5887.0,0.9709939187459328,0.09709939187459356,0.1409157443661737
6044.0,0.9702319857127205,0.0970231985712724,1.0256212803396085
6187.0,0.9695385160542022,0.09695385160542058,1.3086574623427625
6259.0,0.969189544134704,0.09691895441347087,1.2253395951613166
6411.0,0.9684532380721348,0.09684532380721401,0.13243039915719557
6475.0,0.9681433818409495,0.0968143381840955,0.11956686665340754
6583.0,0.9676207242383603,0.0967620724238365,5.666929299995877
6723.0,0.9669436250510036,0.09669436250510079,0.015823293075921896
