timestep,epsilon,alpha,error
461.0,0.997697648723321,0.684931506849315,59.952613254363754
497.0,0.9975180788593974,0.6684491978609626,18.434627070192064
640.0,0.9968051065685443,0.6101281269066504,6.574468764787113
663.0,0.9966904802858597,0.601684717208183,2.52772896552284
689.0,0.996560918621208,0.5924170616113744,0.9913249852939003
1062.0,0.9947040599247667,0.485201358563804,0.33092265399427845
1251.0,0.9937645062482794,0.4444444444444444,0.15604841595019536
1283.0,0.9936055162493423,0.43821209465381245,0.08547787902618609
1349.0,0.9932776797053908,0.42589437819420783,0.04667063071190114
1510.0,0.9924784109238955,0.3985651654045437,0.025074535751159033
1735.0,0.9913624977406723,0.365764447695684,0.13583958690823295
1880.0,0.9906440186137601,0.3473428273706148,0.08181515932575678
2168.0,0.9892185142726364,0.3157562361856647,0.10165864650177525
2276.0,0.9886844791422995,0.3053435114503817,0.06726543113568084
2501.0,0.9875728317430424,0.2857142857142857,0.04372253023819894
2614.0,0.9870150092982267,0.2767783005812344,0.030253619041090474
2852.0,0.9858411570831144,0.25967281225655675,0.04362605993422619
2999.0,0.9851168282452861,0.2501250625312656,0.031110029232735315
3054.0,0.984845957686749,0.2467308166790032,0.02301205715266974
3135.0,0.9844471748359032,0.24189646831156264,0.016994632435185508
3234.0,0.9839599928538885,0.2362390739428301,0.012582371380091217
3505.0,0.9826276266146268,0.22202486678507996,0.009031706632285363
3536.0,0.9824753307549945,0.2205071664829107,0.006978412357113939
3893.0,0.9807231721759504,0.20441537203597712,0.0050426589702396996
4201.0,0.9792140170655936,0.1923076923076923,0.0037742362907948745
4366.0,0.9784064966306875,0.1863932898415657,0.002954667739302863
4423.0,0.9781276898139869,0.18443378827001108,0.0023786655629010056
4440.0,0.978044552285903,0.18385732671446958,0.0019338957748118446
4451.0,0.9779907611803179,0.18348623853211007,0.0015751492374960208
4481.0,0.977844073201293,0.18248175182481752,0.0012790901654824438
4722.0,0.9766664777928127,0.17479461632581716,0.0010016297747625913
4789.0,0.9763393485021411,0.17277125086385625,0.0008169824061212694
4904.0,0.9757781133442308,0.1694053870913095,0.0006626650449703675
4936.0,0.9756220009451383,0.16849199663016007,0.000547438368244002
4958.0,0.9755146881590626,0.16786973308712438,0.0004535182721667752
5020.0,0.9752123247185769,0.1661405549094534,0.0003734989325607785
5078.0,0.9749295534412948,0.1645548790521639,0.00030847311873571925
5169.0,0.974486060288086,0.1621271076523995,0.00025391018544951294
5190.0,0.9743837443676449,0.16157699143641946,0.0002120225946669052
5248.0,0.9741012133444265,0.1600768368817032,0.00017611417379725935
5438.0,0.9731762543044524,0.15535187199005748,0.00014355617055628045
