episode,epsilon,score,average,avg_q_values
0.0,1.0,-123.0,-123.1574135644062,-0.6215882897377014
1.0,0.9858158423524046,-245.0,-184.23851607716074,-2.1371569633483887
2.0,0.9718328750329811,-98.0,-155.6681801181877,-1.9372256994247437
3.0,0.9580482443263975,-97.0,-141.09866001677165,-4.099322319030762
4.0,0.9444591369948698,9.0,-110.95405342412367,-2.3404452800750732
5.0,0.9310627797040227,-66.0,-103.5976761505894,-2.2409212589263916
6.0,0.9178564384568926,-198.0,-117.1622370985254,-3.2634894847869873
7.0,0.9048374180359595,-121.0,-117.76055233090247,-1.905245304107666
8.0,0.8920030614530944,-236.0,-130.98526526351924,-5.858124732971191
9.0,0.879350749407306,-103.0,-128.2000279293722,0.8630757331848145
10.0,0.8668778997501816,-381.0,-151.25293995354906,13.528142929077148
11.0,0.8545819669589086,-168.0,-152.7096775188498,14.073616027832031
12.0,0.8424604416167714,-127.0,-150.74341215508267,5.156733512878418
13.0,0.8305108499010163,-109.0,-147.7920049561442,9.148747444152832
14.0,0.8187307530779818,-123.0,-146.14919863955052,2.3504326343536377
15.0,0.8071177470053893,-98.0,-143.18488710850568,1.237223744392395
16.0,0.7956694616416928,-148.0,-143.50537319189038,-0.8300876021385193
17.0,0.7843835605623898,-325.0,-153.5957125148606,20.51703453063965
18.0,0.7732577404831906,-364.0,-164.67637991127745,-2.157029151916504
19.0,0.7622897307899537,-184.0,-165.6693032784996,22.42066192626953
20.0,0.751477293075286,-64.0,-160.85625025167914,17.51768684387207
21.0,0.7408182206817179,-368.0,-170.28964230026043,15.343720436096191
22.0,0.7303103382513573,-316.0,-176.65284143209763,20.940628051757812
23.0,0.7199515012819313,-344.0,-183.6276698002772,13.308274269104004
24.0,0.7097395956891255,-87.0,-179.76870082568044,10.509175300598145
25.0,0.6996725373751304,-115.0,-177.28095208048967,4.588408946990967
26.0,0.6897482718033084,-327.0,-182.85907789005014,-10.509071350097656
27.0,0.6799647735788938,-465.0,-192.96626388184728,-2.463750123977661
28.0,0.6703200460356393,-234.0,-194.40236148358733,-8.709593772888184
29.0,0.6608121208283264,-72.0,-190.33973601372975,4.948821067810059
30.0,0.6514390575310556,-24.0,-184.9964808288106,-3.670257806777954
31.0,0.6421989432412342,-145.0,-183.7491623027139,-5.241127014160156
32.0,0.6330898921891813,-85.0,-180.75883742649262,2.52630352973938
33.0,0.6241100453532709,-274.0,-183.50364636684498,-11.749863624572754
34.0,0.6152575700805322,-81.0,-180.5892114589998,8.201577186584473
35.0,0.6065306597126334,-154.0,-179.8619192577913,-35.2851676940918
36.0,0.5979275332171694,-133.0,-178.6199147349477,-1.3358138799667358
37.0,0.5894464348241792,-107.0,-176.73859034569568,-1.512690782546997
38.0,0.5810856336678201,-227.0,-178.03736778480678,-5.157254219055176
39.0,0.5728434234331229,-142.0,-177.15549637784045,-1.2487094402313232
40.0,0.5647181220077593,1.0,-172.80426574600725,-1.161173939704895
41.0,0.5567080711387471,-123.0,-171.64056952872957,7.741668224334717
42.0,0.5488116360940265,-169.0,-171.58581192356823,3.311783790588379
43.0,0.541027205328834,-103.0,-170.03184861556625,0.7573225498199463
44.0,0.5333531901568119,-141.0,-169.39226464650392,4.145623683929443
