timestep,epsilon,alpha,error
89.0,0.9995550978858035,0.09995550978858035,0.8993747157482308
182.0,0.9990904116514897,0.09990904116514895,0.8091009371803599
513.0,0.9974382804055725,0.09974382804055727,0.7270601545044282
635.0,0.996830027070015,0.0996830027070015,2.1839828824670677
684.0,0.9965858330178884,0.09965858330178884,1.9657952308429012
704.0,0.9964861791682268,0.09964861791682265,1.7697098827960867
765.0,0.9961822964683388,0.09961822964683385,1.5928748367254446
836.0,0.9958287136337991,0.09958287136337984,2.0847886202657477
922.0,0.9954005982680442,0.09954005982680439,1.8763723676424267
1363.0,0.9932081525274725,0.09932081525274718,2.270326957845727
1464.0,0.9927067077822848,0.0992706707782284,2.0438038493222592
1493.0,0.9925627753851751,0.09925627753851744,1.8406471564051579
1586.0,0.9921013398331077,0.09921013398331077,1.6571806013018318
1706.0,0.9915062560844701,0.0991506256084471,2.0153057494218807
1762.0,0.9912286725023197,0.09912286725023209,1.814978657125753
1949.0,0.9903023045221204,0.09903023045221224,1.6335446862644112
2066.0,0.9897231456465612,0.09897231456465629,1.4709136411563044
2273.0,0.9886993095577906,0.09886993095577917,1.3239628991605912
2292.0,0.9886053873499518,0.0988605387349953,1.192949442868791
2532.0,0.9874197694341006,0.09874197694341029,1.0737245721605042
2646.0,0.9868570991351121,0.09868570991351142,0.9671514503633531
2895.0,0.9856292234881836,0.09856292234881847,1.3368706370515682
2901.0,0.9855996549810871,0.09855996549810885,1.2050686075705457
2976.0,0.9852301234781246,0.09852301234781256,1.0858898011305342
3096.0,0.9846391612330293,0.098463916123303,0.9783174987453975
3197.0,0.9841420427467885,0.09841420427467902,0.8815432337337157
3309.0,0.9835910761104859,0.09835910761104874,0.7943419006989245
3349.0,0.9833943770740736,0.09833943770740754,0.7160679119453022
3518.0,0.9825637577349852,0.09825637577349869,0.6451048507860406
3535.0,0.9824802431562103,0.0982480243156212,0.5816697420008765
3623.0,0.9820480458591032,0.09820480458591048,0.5242910996254722
3870.0,0.9808359621080232,0.0980835962108023,0.4722196416544975
3939.0,0.9804976312206999,0.09804976312206995,0.42575572956490504
4009.0,0.9801545162406062,0.09801545162406064,0.3838761006468019
4115.0,0.9796351706873594,0.09796351706873593,0.3460668467729704
4153.0,0.9794490572209823,0.09794490572209828,0.3121056154731292
4289.0,0.9787832565954329,0.09787832565954342,0.2813450801954005
4362.0,0.9784260650052242,0.09784260650052255,0.25371487175089413
4592.0,0.9773015189570059,0.09773015189570071,0.2286276736700401
4614.0,0.9771940214336482,0.09771940214336491,0.20626116636174885
5056.0,0.9750368018588503,0.09750368018588505,0.18569460857652587
5086.0,0.9748905569416008,0.0974890556941601,0.16756356436695086
5107.0,0.9747881985511346,0.09747881985511346,0.1512120725671764
5268.0,0.9740038078499332,0.09740038078499343,0.5464223523938472
5284.0,0.9739258904672479,0.09739258904672489,0.49316115263225413
5286.0,0.9739161512326913,0.09739161512326924,0.8151694581822113
5666.0,0.9720674627338342,0.09720674627338366,1.0672937892521048
5698.0,0.9719119439928294,0.09719119439928323,0.9633914773272565
5717.0,0.9718196165129555,0.09718196165129583,0.8696756856504919
5943.0,0.9707220778285837,0.09707220778285863,1.0840580092053003
5947.0,0.9707026635326348,0.09707026635326374,1.2492420083843854
6072.0,0.9700961624030148,0.0970096162403018,1.1272729862955373
6261.0,0.9691798522634925,0.0969179852263497,1.0169551872139095
6359.0,0.968705069280252,0.09687050692802573,0.917944035484048
6368.0,0.9686614784239584,0.09686614784239639,0.8289850261763405
6487.0,0.9680852948354485,0.09680852948354539,0.7482391042169851
6692.0,0.967093513303648,0.09670935133036522,0.6751108317360064
6954.0,0.9658274470904717,0.09658274470904764,0.6090229562524314
6977.0,0.9657163830427005,0.0965716383042705,0.5501385778141952
7557.0,0.9629198554654247,0.09629198554654299,0.7360598265686704
7606.0,0.9626839684084603,0.09626839684084655,0.6650202140669066
7819.0,0.9616592531780236,0.0961659253178029,0.6003600585368218
8082.0,0.9603954992010483,0.09603954992010535,0.5419127921282154
8133.0,0.9601506289588567,0.09601506289588622,0.4897428308179954
8242.0,0.9596274881270428,0.09596274881270486,0.4424789247714074
8622.0,0.9578059223811184,0.09578059223811253,0.7795902634481067
8834.0,0.9567911834731733,0.09567911834731804,0.7041738244453484
8916.0,0.9563989785149438,0.09563989785149504,0.6365380589939065
9019.0,0.9559065586189608,0.09559065586189672,0.5753632349325244
9111.0,0.9554669416226114,0.09554669416226172,0.6977298581278291
9425.0,0.9539680317291314,0.09539680317291373,0.6300740810398935
9572.0,0.9532671210897419,0.09532671210897475,0.5695482550519984
10203.0,0.9502642952642094,0.09502642952642143,0.5136320203785516
10244.0,0.9500695105628311,0.09500695105628364,0.46472812412210374
10440.0,0.9491388961914564,0.09491388961914633,0.4201637586367042
10453.0,0.9490772040139906,0.09490772040139975,0.38025966428421043
10624.0,0.9482660877783633,0.09482660877783712,0.645346638084888
10847.0,0.9472093576851622,0.09472093576851709,0.5834996383385231
10927.0,0.9468305487618975,0.09468305487619069,0.5280187562966319
11138.0,0.945832166776089,0.09458321667760995,0.6065480056712005
11311.0,0.9450143736538543,0.09450143736538646,0.5487039088204995
11341.0,0.9448726317743569,0.09448726317743675,0.4967760785618509
11384.0,0.9446695054875657,0.09446695054875773,0.44974036167160136
11604.0,0.9436309377520775,0.09436309377520899,0.40680702610858077
11697.0,0.9431922502720439,0.09431922502720565,0.36824818090467204
11726.0,0.9430554969687241,0.09430554969687364,0.33346694153091505
11837.0,0.9425322450756043,0.09425322450756159,0.4177457783038676
12112.0,0.941237150582388,0.09412371505823985,0.37785198654016483
12500.0,0.9394129160293149,0.09394129160293252,0.34162375878921125
12534.0,0.9392532290081526,0.09392532290081627,0.3094785656863621
12594.0,0.9389714945973865,0.09389714945973965,0.28032658067293426
12788.0,0.9380611315691606,0.09380611315691693,0.35779116922985565
12925.0,0.9374187781193201,0.09374187781193295,0.41808656990353654
12975.0,0.9371844521309419,0.09371844521309523,0.3787996377681111
12996.0,0.9370860526835302,0.09370860526835409,0.34326308006336603
13090.0,0.9366457246231452,0.09366457246231559,0.3109501942838193
13297.0,0.9356767953832059,0.09356767953832164,0.36652702847534613
13399.0,0.935199720689257,0.09351997206892673,0.33206254941697466
13435.0,0.9350313994680928,0.0935031399468103,0.3009538923585211
13918.0,0.9327760174698263,0.09327760174698371,0.3486884619103279
13956.0,0.9325988064190606,0.09325988064190717,0.31610357289143565
14003.0,0.9323796709011435,0.09323796709011548,0.2865564425675444
