timestep,epsilon,alpha,error
13534.0,0.9345686723029559,0.09345686723029657,0.009348743229872425
13714.0,0.9337279367837703,0.09337279367837806,0.008467414852300044
13824.0,0.933214526335824,0.09332145263358346,0.007672567588888832
13884.0,0.932934603268673,0.09329346032686836,0.021909404016670207
13945.0,0.9326501008922354,0.09326501008922465,0.01985934186403812
13975.0,0.9325102135191973,0.09325102135192083,0.018004459266520237
14304.0,0.9309774913957198,0.09309774913957297,0.04205318521173079
14307.0,0.930963526803172,0.09309635268031818,0.03813755625530457
14601.0,0.9295960123693385,0.09295960123693464,0.03453628307155371
14752.0,0.928894430506519,0.09288944305065265,0.03130216185393561
14791.0,0.9287133132992775,0.09287133132992847,0.028388985067330924
15241.0,0.9266260521755127,0.0926626052175519,0.036702118589700794
15315.0,0.9262832630991223,0.09262832630991287,0.03328888546684372
15351.0,0.9261165466998982,0.09261165466999048,0.030199955226525743
15676.0,0.9246128256564408,0.09246128256564479,0.02735859343491326
15882.0,0.9236609623600998,0.09236609623601062,0.024803422046592583
15988.0,0.9231715505321065,0.09231715505321117,0.02250049832416029
16084.0,0.9227285334129192,0.09227285334129245,0.020413515467648358
16216.0,0.922119731985428,0.09221197319854334,0.018517676417674267
16278.0,0.9218339184573622,0.09218339184573668,0.016804914592037312
16317.0,0.921654177919182,0.09216541779191866,0.015252805970651151
16363.0,0.9214422213043121,0.09214422213043175,0.013843840278443209
16557.0,0.920548853469667,0.0920548853469672,0.012556025100969648
16783.0,0.9195092181707178,0.09195092181707236,0.011387306688157794
16805.0,0.9194080774667073,0.09194080774667128,0.01033909597521332
16879.0,0.919067958553623,0.09190679585536293,0.009385038024643078
17055.0,0.9182595324886631,0.09182595324886687,0.008514992740483729
17106.0,0.9180254055750092,0.09180254055750149,0.007731123722322986
17409.0,0.916635646619381,0.09166356466193853,0.007010757549270941
17473.0,0.9163423694061238,0.09163423694061279,0.016126250006425424
17494.0,0.9162461582679806,0.09162461582679847,0.01464699537326919
17599.0,0.9157652540810202,0.0915765254081024,0.013297986755717361
17723.0,0.9151976541786375,0.09151976541786416,0.012072715910261378
17775.0,0.9149597331248235,0.0914959733124828,0.06674825627739644
17976.0,0.9140406582078408,0.0914040658207846,0.06058014579951265
18201.0,0.9130129380990016,0.0913012938099007,0.15135046444111067
18247.0,0.9128029687457152,0.09128029687457204,0.13750034242390619
18436.0,0.911940775235357,0.09119407752353623,0.12483124876554408
18442.0,0.9119134173540752,0.09119134173540806,0.11344397480945623
18872.0,0.9099549047659352,0.09099549047659397,0.14434406743647
19013.0,0.9093136110374368,0.0909313611037441,0.13111693795832657
19064.0,0.909081765048625,0.09090817650486298,0.11916390557946555
19138.0,0.9087454661739357,0.09087454661739401,0.10829085708728603
19749.0,0.905973478212317,0.09059734782123222,0.09814966807536063
19816.0,0.9056700271693732,0.09056700271693785,0.08922767210594285
19835.0,0.9055839923884212,0.09055839923884267,0.08113888070480746
20347.0,0.9032686564740036,0.0903268656474008,0.32435871105015757
20426.0,0.9029119349200345,0.09029119349200393,0.42626355353848755
20465.0,0.9027358838181362,0.09027358838181408,0.38770009946728967
20776.0,0.9013332168683144,0.09013332168683189,0.35215299501586506
20834.0,0.9010718674795399,0.09010718674795436,0.3203193695129283
21088.0,0.899928229712434,0.08999282297124366,0.34764532445568275
21154.0,0.8996313016501312,0.08996313016501338,0.316255358563839
21182.0,0.8995053617690467,0.08995053617690493,0.33915325082889947
21350.0,0.8987500926344275,0.08987500926344297,0.3083870794463719
21545.0,0.8978742361538795,0.08978742361538805,0.28039726648578966
