episode,score_mean,score_std,average_mean,average_std,avg_q_values_mean,avg_q_values_std,rolling_100_score
0,-163.55,104.55443054872624,-164.04178587616678,104.5893239408878,-2.312467916868627,2.2466171061811164,-163.55
1,-143.95,80.68553317142978,-154.25340086150496,71.11470259530475,2.4815054044127463,15.90685813889931,-153.75
2,-149.0,108.89686090879513,-152.66153442128814,53.44458313149112,4.000864860415459,10.350820554034188,-152.16666666666666
3,-170.5,123.05433117551219,-157.23518819766772,54.39638450671023,5.241096353530883,9.08081588569608,-156.75
4,-170.25,115.91960689701244,-159.93533318751946,54.864667771050485,8.164614848420024,10.969823411604509,-159.45
5,-187.0,116.07710685937217,-164.52414816749382,49.871631795266104,18.47169500365853,21.11704014943512,-164.04166666666666
6,-184.75,97.58875851999392,-167.5002736183397,52.03960599387939,16.30215087234974,12.72988362356904,-167.0
7,-148.1,110.41066882087837,-165.1419138720935,50.44680594094684,21.125939702987672,15.175808828716029,-164.6375
8,-161.0,81.00292392383454,-164.72948843801805,44.45872862539052,23.57180451154709,13.48180840134417,-164.23333333333332
9,-170.6,89.04428230114675,-165.37026669529558,40.96241123301352,27.468019891064614,19.312856450365548,-164.86999999999998
10,-146.95,110.78356091235312,-163.7366377851559,37.365167950604445,32.08753219842911,24.55355346693672,-163.24090909090907
11,-123.6,70.90497718407138,-160.43711490445574,36.36516029952442,34.148709177970886,18.07802595594545,-159.93749999999997
12,-167.15,111.26983560601441,-160.987358064324,31.455036142695565,63.00618766546249,89.94326215375384,-160.49230769230766
13,-122.65,76.67516924629099,-158.28399918168535,29.868942121880167,58.52356657981873,61.722135366794426,-157.78928571428568
14,-122.15,45.58078427075211,-155.9038397709095,27.884142744044926,43.80713467597961,29.54628794669097,-155.41333333333333
15,-130.0,81.66362328736739,-154.32414853390637,26.61613295224631,63.13307552337646,57.52846242577536,-153.825
16,-142.6,82.08173077071287,-153.65817500338076,26.061916187785133,129.6984580039978,248.49473094405934,-153.16470588235293
17,-132.6,60.955030879113544,-152.5155375268147,24.214917687135078,128.44426727294922,234.95861253750908,-152.0222222222222
18,-153.15,72.74488587559011,-152.58307251694688,23.179300193831022,229.93301219940184,724.4841969000453,-152.0815789473684
19,-164.7,110.22899608971937,-153.2108309685524,24.042441443353297,129.0727391242981,204.0424047591404,-152.71249999999998
20,-166.0,91.95364965138972,-153.84612564240427,25.12155281252166,307.38123359680174,808.9181636392459,-153.34523809523807
21,-171.65,134.03741622162232,-154.68003265040747,27.35157191456769,258.69975810050965,609.5827568464837,-154.1772727272727
22,-147.8,109.58563102120546,-154.3985597435275,27.20473353266608,462.8026915073395,1301.6492973732522,-153.9
23,-178.05,153.70391050738806,-155.40313523757504,28.623212105079944,475.2630807876587,1491.9776792223738,-154.90625
24,-136.4,95.55731264534388,-154.6638797844391,28.024181123228853,185.98551621437073,360.0443981728094,-154.166
25,-141.15,115.71301841875419,-154.16453786820423,28.247653366838783,651.314432144165,1732.296865647994,-153.66538461538462
26,-135.35,104.09675408256645,-153.48619113305693,28.157469800064188,499.4166861534119,1540.2158856002009,-152.98703703703706
27,-119.75,78.87490095080945,-152.29315393940809,28.816993909677404,695.5230415344238,2267.088776980425,-151.8
28,-97.5,77.31106001084191,-150.42247742292122,28.965996741490347,895.7224012374878,2167.5360901496065,-149.92758620689656
29,-165.9,161.25654617475388,-150.95995644122135,30.723514573229746,932.3690734863281,2660.7265685947086,-150.46
30,-131.65,115.4985873688961,-150.35106996918702,31.17615957913733,1238.1603786468506,3252.4771719028026,-149.8532258064516
31,-141.45,115.98070393048374,-150.089040715218,32.089686357083416,1382.740759086609,3855.1290687398896,-149.590625
32,-123.7,97.8070603414272,-149.3063431052239,32.79563333751887,1260.5392060279846,3547.7656385863197,-148.80606060606058
33,-118.4,75.74569642108911,-148.4125225750732,33.18775051355923,1171.7257142066956,2665.636140827352,-147.91176470588232
34,-163.95,118.46761716093336,-148.87416250958617,33.43207253012347,1539.1954315304756,3833.4508998157144,-148.36999999999998
35,-144.75,114.25358453434784,-148.77451145823775,35.06555551396848,1705.0766823768615,5195.948004529742,-148.26944444444442
36,-137.65,140.502584729924,-148.48914662138037,36.53804187032614,1789.762758731842,5609.263715230146,-147.9824324324324
37,-167.6,144.6066898066687,-149.00714602149367,38.05949746517604,1382.2200158119201,3428.609763518882,-148.49868421052628
38,-158.7,138.60246067535437,-149.26667822703658,39.86767220275408,1537.2991102218627,3494.4772482504677,-148.76025641025637
39,-132.45,89.5059392325154,-148.8604821357332,40.21433595286959,1016.1328351020813,2717.8956411291074,-148.35249999999996
40,-208.55,164.69380680523477,-150.33050015700883,42.26687674353659,1854.0292517662049,4489.183607402545,-149.82073170731704
41,-161.0,143.908596722108,-150.5977338874148,43.59233617410102,1597.4803483009339,4093.195338789792,-150.08690476190472
42,-178.65,181.4199185373681,-151.25870139415406,45.45414130301695,2089.3279069185255,4672.2541515050825,-150.75116279069763
