lambda,A,B,C,D,E
v_true,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.8333333333333334
0.0,0.24609792000000003,0.43841715200000003,0.4866152960000001,0.631355648,0.6959646720000001
0.3,0.24731508332473623,0.4318172376701217,0.49973039146770565,0.6050457846138945,0.7032771064268597
